seller_id,TotalOrders,CanceledOrders,ReturnRate_Percentage
001e6ad469a905060d959994f1b41e4f,1,1,100
1992f8fb6b19fcccd97ca819811e7267,1,1,100
1fddcb7b326905d3ad5efe82187db347,1,1,100
2078fe5066350e7d220c0ad3a3bbc6c1,1,1,100
278b6e0b20c4f61fefaa0577943d7a35,2,2,100
37ceb404da208418c9032f0674e57804,3,3,100
3febca52652e7209509ccfe61cbde40e,2,2,100
3820c6537b3853be1a0687d5a60807ec,1,1,100
4bc3d93e4a5f88a598d3d8ce4ae510b3,1,1,100
4ce6e5f6c52515177e18c1c9361d8677,1,1,100
4d6fb82c629c7a5028bfd973c07b05e0,2,2,100
50c361bcf670d16f6df4d52de3dff924,1,1,100
58b98ccb79873e04eac4357cacc590d9,1,1,100
5dc4bdaf869e8c77c648078cbe8d59c2,1,1,100
61b893c57e33626afb104d4112b1be76,1,1,100
666658b8da8370f30e1f89893b1de5e6,2,2,100
66d5ae34537110d3affc56174dad2b2f,3,3,100
6e2d3e2dc84fb30f6078f39dd3bddd6f,1,1,100
6e85dc5ecd97a61094b89b046a509d8e,1,1,100
8501d82f68d23148b6d78bb7c4a42037,1,1,100
86649b1632b1c0e6c0bcb2c90a8b75d8,1,1,100
880eda903e719a5f179f7e9fceb3a69d,1,1,100
90d4125885ab6c86e8820a722be71974,5,5,100
92992bec39dde5766f590d3b1f46d465,1,1,100
a1ed30492b3b798bc121845bc4aa7366,2,2,100
a4e634166243bbb3a13fa584463fa468,2,2,100
afac9f6b0c4e5f0a7ee87e922cd0f873,1,1,100
bf0d50a6410d487dc97d2baac0a8c0be,1,1,100
bcf5566870987da7bc811fbc8c5b9fd9,4,4,100
d1a1b40ec554c593a1a99366746289dd,1,1,100
dadc51ef321949ec9a3ab25cd902e23d,1,1,100
deaadd805612bf94faaa9fa702516e11,1,1,100
e46bc031f2c5bae4ccb40bb90712e9b4,1,1,100
e628d4a53c109f09ca88098338b3a3f5,1,1,100
f09e26011d833ddab11593c1a097a92a,1,1,100
f543ba3c973276f519d89d59bd46cead,2,2,100
fc99f99385ae90f66f01733856fb88c9,1,1,100
fa18c782a4866d313cadab567097f8f1,1,1,100
ffcfefa19b08742c5d315f2791395ee5,1,1,100
7994081388d55b9cf976c050653dd359,6,5,83.33
8132b9bd16876e1b0f8808d43825dd48,3,2,66.67
c1d1ebb4745cc43cb6f05e9c8a705c9a,3,2,66.67
630008e0f062605a415d694489f6f82e,3,2,66.67
d6cd01c59123df02fc226eadbadb5f89,3,2,66.67
