seller_id,Profit_Margin,SellingPrice,FreightValue,order_count,Profit_Margin_Percentage
491a5ada3aa1678414e990262c4bbdc1,1404.42,1420,15.58,1,98.9
961dff0a659b4561334372337dd897d9,7204.26,7297,92.74,3,98.73
e2a1ac9bf33e5549a2a4f834e70df2f8,14798.34,14999.45,201.11,5,98.66
8ec76bb0965af3f007692b26fa9d6623,1969.25,1999,29.75,1,98.51
585175ec331ea177fa47199e39a6170a,3495.53,3549,53.47,1,98.49
c7b7db6c8f3c64a7cc1afa634db21d50,1466.14,1489,22.86,1,98.46
f6122bc84774df1b372bdb3bb88ddb9f,4725.38,4799.87,74.49,3,98.45
c3acdfac4e3e97ff87529454fbc03642,16518.72,16788,269.28,12,98.4
b37c4c02bda3161a7546a4e6d222d5b2,23662.4,24075,412.6,4,98.29
abe021b01ba992245271b9aa422032df,6602.76,6720,117.24,2,98.26
b1b3948701c5c72445495bd161b83a4c,21114.75,21519.5,404.75,14,98.12
45a3d05fb00435e52a28859dd03703b3,1274.21,1299,24.79,1,98.09
32e5635e63cb374eb63afdd242fb6134,892.18,910,17.82,1,98.04
2bf6a2c1e71bbd29a4ad64e6d3c3629f,49628.31,50628.9,1000.59,30,98.02
e908c0f3646e8b60375734a350d95d71,2892.47,2951,58.53,1,98.02
a1040efe9ff4a6f93c28b0499eada8f5,1624.35,1658.83,34.48,1,97.92
b839e41795b7f3ad94cc2014a52f6796,41908.07,42829,920.93,33,97.85
0873d9f8f36123f8d910f4760e788cfb,7104.53,7265.59,161.06,6,97.78
cb810bd318f51b3dc3c753944d61a1fa,1710.98,1750,39.02,1,97.77
010543a62bd80aa422851e79a3bc7540,1384.05,1416,31.95,2,97.74
1b4b28463457a256e9a784ebe2a8f630,683.5,699.42,15.92,1,97.72
403aa86912527d730337ffcb0fb096ab,8755.27,8959.89,204.62,11,97.72
734def04b237117a09321dd6d8f3f2a2,1223.63,1252.43,28.8,2,97.7
9b1585752613ec342d03bbab9997ec48,4148.92,4248.98,100.06,3,97.65
0015a82c2db000af6aaaf3ae2ecb0532,2621.94,2685,63.06,3,97.65
0b36063d5818f81ccb94b54adfaebbf5,747,765,18,1,97.65
61c36f0fc4a47f9532e5512b66668e62,732.31,750,17.69,1,97.64
2a167ca73899c85001a837d8fb4962f6,3996.38,4097,100.62,2,97.54
850857dfac77488c307e2b1cbd84ab5a,1559.28,1599,39.72,1,97.52
ff4ea69c2a729e83e63c7579e4ef8170,6208.18,6368,159.82,8,97.49
1444c08e64d55fb3c25f0f09c07ffcf2,2679.26,2749,69.74,1,97.46
dd58ee93286b0821565574c570e9e1dc,2872.69,2948,75.31,2,97.45
3cfa1358a6caa965278721344c8d76f2,3059.03,3140.28,81.25,5,97.41
b19c48688808720822399ffa9f2dbe2f,935.17,959.99,24.82,1,97.41
039e6ad9dae79614493083e241147386,12576.58,12925,348.42,5,97.3
bba3293d6f5d5af2f415e004e8b93ae3,11375.41,11702.1,326.69,17,97.21
40db9e9aa57f7bb151bcda6b0f9bdbb7,22512.01,23168,655.99,12,97.17
28872dc528e978a639754bc8c2ce5a4c,980.9,1009.9,29,1,97.13
80ceebb4ee9b31afb6c6a916a574a1e2,6535.79,6729,193.21,1,97.13
e3b4998c7a498169dc7bce44e6bb6277,6540.69,6735,194.31,1,97.11
7b0df942f46435babab05d49b744b2c4,21928.48,22600.63,672.15,32,97.03
ba90964cff9b9e0e6f32b23b82465f7b,42901.5,44212.5,1311,38,97.03
