seller_id,TotalFreightCost,TotalShipments
7c67e1448b00f6e969d365cea6b010ab,51236.64,1355
1f50f920176fa81dab994f9023523100,35057.23,1926
4a3ca9315b744ce9f8e9374361493884,34338.31,1949
1025f0e2d44d7041d6cf58b6550e0bfa,33716.4,1420
a1043bafd471dff536d0c462352beb48,31103.51,752
6560211a19b47992c3666cc44a7e94c0,27348.11,1996
da8622b14eb17ae2831f4ac5b9dab84a,24889.91,1548
cc419e0650a3c5ba77189a1882b7556a,24846.03,1719
955fee9216a65b617aa5c0531780ce60,24769.77,1472
3d871de0142ce09b7081e2b9d1733cb1,22108.25,1131
7a67c85e85bb2ce8582c35f2203ad736,20619.83,1155
4869f7a5dfa277a7dca6462dcf3b52b2,20019.13,1148
ea8482cd71df3c1969d7b9473ff13abc,17291.87,1188
cca3071e3e9bb7d12640c9fbe2301306,14153.39,817
8b321bb669392f5163d04c59e235e066,13924,1005
620c87c171fb2a6dd6e8bb4dec959fc6,13816.68,778
5dceca129747e92ff8ef7a997dc4f8ca,13576.19,343
53243585a1d6dc2643021fd1853d8905,12856.58,400
f8db351d8c4c4c22c6835c19a46f01b0,12404.42,714
06a2c3af7b3aee5d69171b0e14f0ee87,12071.52,402
46dc3b2cc0980fb8ec44634e21d2718e,11351.5,523
391fc6631aebcf3004804e51b40bcf1e,10083.84,605
e9779976487b77c6d4ac45f75ec7afe9,9981.61,738
fa1c13f2614d7b5c4749cbc52fecda94,9916.36,579
17f51e7198701186712e53a39c564617,9793.43,61
53e4c6e0f4312d4d2107a8c9cddf45cd,9696.16,512
128639473a139ac0f3e5f5ade55873a5,9679.69,554
de722cd6dad950a92b7d4f82673f8833,9650.29,377
8581055ce74af1daba164fdbd55a40de,9462.76,427
d2374cbcbb3ca4ab1086534108cc3ab7,9444.21,620
d91fb3b7d041e83b64a00a3edfb37e4f,9058.06,525
17a053fcb14bd219540cbde0df490be0,8761.17,148
001cca7ae9ae17fb1caed9dfb1094831,8655.87,234
1835b56ce799e6a4dc4eddc053f04066,8622.96,551
7d13fca15225358621be4086e1eb0964,8498.29,571
